dataset, source, target
v_man,1,3
v_man,1,4
v_man,1,5
v_man,1,6
v_maskedman,1,2
v_maskedman,1,3
v_maskedman,1,4
v_maskedman,1,5
v_maskedman,1,6
v_pomegranate,1,2
v_pomegranate,1,3
v_pomegranate,1,4
v_pomegranate,1,5
v_pomegranate,1,6
v_posters,1,2
v_posters,1,3
v_posters,1,4
v_posters,1,5
v_posters,1,6
v_samples,1,2
v_samples,1,3
v_samples,1,4
v_samples,1,5
v_samples,1,6
v_soldiers,1,2
v_soldiers,1,3
v_soldiers,1,4
v_soldiers,1,5
v_soldiers,1,6
v_strand,1,2
v_strand,1,3
v_strand,1,4
v_strand,1,5
v_strand,1,6
v_sunseason,1,2
v_sunseason,1,3
v_sunseason,1,4
v_sunseason,1,5
v_sunseason,1,6
v_tabletop,1,2
v_tabletop,1,3
v_tabletop,1,4
v_tabletop,1,5
v_tabletop,1,6
v_talent,1,2
v_talent,1,3
v_talent,1,4
v_talent,1,5
v_talent,1,6
v_tempera,1,2
v_tempera,1,3
v_tempera,1,4
v_tempera,1,5
v_tempera,1,6
v_there,1,2
v_there,1,3
v_there,1,4
v_there,1,5
v_there,1,6
v_underground,1,2
v_underground,1,3
v_underground,1,4
v_underground,1,5
v_underground,1,6
v_vitro,1,2
v_vitro,1,3
v_vitro,1,4
v_vitro,1,5
v_vitro,1,6
v_wall,1,2
v_wall,1,3
v_wall,1,4
v_wall,1,5
v_wall,1,6
v_wapping,1,2
v_wapping,1,3
v_wapping,1,4
v_wapping,1,5
v_wapping,1,6
v_war,1,2
v_war,1,3
v_war,1,4
v_war,1,5
v_war,1,6
v_weapons,1,2
v_weapons,1,3
v_weapons,1,4
v_weapons,1,5
v_weapons,1,6
v_woman,1,2
v_woman,1,3
v_woman,1,4
v_woman,1,5
v_woman,1,6
v_wormhole,1,2
v_wormhole,1,3
v_wormhole,1,4
v_wormhole,1,5
v_wormhole,1,6
v_wounded,1,2
v_wounded,1,3
v_wounded,1,4
v_wounded,1,5
v_wounded,1,6
v_yard,1,2
v_yard,1,3
v_yard,1,4
v_yard,1,5
v_yard,1,6
v_yuri,1,2
v_yuri,1,3
v_yuri,1,4
v_yuri,1,5
v_yuri,1,6
